id,hugo,info,entrez,created_at,updated_at
2602,FAM178A,,55719,,
2603,LIN7B,,64130,,
2604,AHR,,196,,
2605,CLEC7A,,64581,,
2606,FAM124B,,79843,,
2607,PTCH1,,5727,,
2608,CISH,,1154,,
2609,EFNA3,,1944,,
2610,C7orf54,,27099,,
2611,WDR46,,9277,,
2612,IL4R,,3566,,
2613,PRKACG,,5568,,
2614,SRSF8,,10929,,
2615,ALDH7A1,,501,,
2616,SLC22A4,,6583,,
2617,MATN2,,4147,,
2618,GDF15,,9518,,
2619,TMEM45A,,55076,,
2620,CCDC57,,284001,,
2621,TRA2A,,29896,,
2622,SCARB1,,949,,
2623,FAT2,,2196,,
2624,ATG3,,64422,,
2625,PGD,,5226,,
2626,RUFY2,,55680,,
2627,FN3K,,64122,,
2628,MX2,,4600,,
2629,APOB,,338,,
2630,KCNK15,,60598,,
2631,HIST1H2AI,,8329,,
2632,ITGBL1,,9358,,
2633,KLK7,,5650,,
2634,NCR3,,259197,,
2635,ZSWIM1,,90204,,
2636,TMED3,,23423,,
2637,L1CAM,,3897,,
2638,TMEM62,,80021,,
2639,IFT74,,80173,,
2640,LOC202152,,202152,,
2641,FGF13,,2258,,
2642,WWC2,,80014,,
2643,UQCC,,55245,,
2644,SRSF1,,6426,,
2645,SLC25A42,,284439,,
2646,KAT5,,10524,,
2647,KBTBD6,,89890,,
2648,LRRC8A,,56262,,
2649,FAM131C,,348487,,
2650,PSMD2,,5708,,
2651,ANXA13,,312,,
2652,TENC1,,23371,,
2653,MAST1,,22983,,
2654,NEK1,,4750,,
2655,EMILIN1,,11117,,
2656,VPS13B,,157680,,
2657,ASRGL1,,80150,,
2658,NNAT,,4826,,
2659,HLA-DRB1,,3123,,
2660,GPR22,,2845,,
2661,FRS2,,10818,,
2662,NF1,,4763,,
2663,MARCKS,,4082,,
2664,FAM182A,,284800,,
2665,KLHL15,,80311,,
2666,ZNF367,,195828,,
2667,PLK5,,126520,,
2668,CCDC78,,124093,,
2669,NFKBIE,,4794,,
2670,LOC100288594,,100288594,,
2671,PRKG2,,5593,,
2672,PSMD8,,5714,,
2673,TARBP1,,6894,,
2674,PTGER4,,5734,,
2675,IRF8,,3394,,
2676,PKD2L1,,9033,,
2677,C3orf52,,79669,,
2678,RAD54L,,8438,,
2679,CBFA2T3,,863,,
2680,CCL1,,6346,,
2681,GREB1L,,80000,,
2682,CTRB2,,440387,,
2683,ST6GALNAC1,,55808,,
2684,CES1,,1066,,
2685,DCAF16,,54876,,
2686,SAR1B,,51128,,
2687,MID1,,4281,,
2688,ZNF668,,79759,,
2689,NXF2,,56001,,
2690,KLHL3,,26249,,
2691,GLIPR1,,11010,,
2692,KLC2,,64837,,
2693,SULT4A1,,25830,,
2694,CMTM8,,152189,,
2695,CAMK2A,,815,,
2696,DLX6,,1750,,
2697,CLIP3,,25999,,
2698,RASL12,,51285,,
2699,AIPL1,,23746,,
2700,RHCE,,6006,,
2701,C4orf37,,285555,,
2702,CABP4,,57010,,
2703,SMPDL3A,,10924,,
2704,DRD4,,1815,,
2705,JAM3,,83700,,
2706,NRBP1,,29959,,
2707,DNAJC9,,23234,,
2708,AKT2,,208,,
2709,CDH9,,1007,,
2710,SH3TC2,,79628,,
2711,BCL2A1,,597,,
2712,ATP8A1,,10396,,
2713,SLAMF1,,6504,,
2714,DNAH7,,56171,,
2715,ZNF345,,25850,,
2716,FADD,,8772,,
2717,ZNF185,,7739,,
2718,SLC8A2,,6543,,
2719,HSPA2,,3306,,
2720,ZNF184,,7738,,
2721,LEMD3,,23592,,
2722,IQCF1,,132141,,
2723,MFAP5,,8076,,
2724,DCTN4,,51164,,
2725,HLA-DMA,,3108,,
2726,C15orf48,,84419,,
2727,CREB5,,9586,,
2728,C19orf73,,55150,,
2729,ZMYND8,,23613,,
2730,STOM,,2040,,
2731,RNF103,,7844,,
2732,CTNNAL1,,8727,,
2733,CDK4,,1019,,
2734,SULT1E1,,6783,,
2735,GTF2H2D,,730394,,
2736,PLSCR2,,57047,,
2737,GPR77,,27202,,
2738,NTF3,,4908,,
2739,TCP10,,6953,,
2740,PELI2,,57161,,
2741,ACPP,,55,,
2742,TSPAN1,,10103,,
2743,GSTM3,,2947,,
2744,TUBB2B,,347733,,
2745,FOLR1,,2348,,
2746,PRKD3,,23683,,
2747,CSF1,,1435,,
2748,NUP43,,348995,,
2749,PMAIP1,,5366,,
2750,ATP6V0A4,,50617,,
2751,TXLNG,,55787,,
2752,PDS5B,,23047,,
2753,RHD,,6007,,
2754,SRSF10,,10772,,
2755,BRMS1,,25855,,
2756,FOXJ1,,2302,,
2757,GNAZ,,2781,,
2758,MALL,,7851,,
2759,PEPD,,5184,,
2760,ARL4D,,379,,
2761,ZBTB2,,57621,,
2762,LSS,,4047,,
2763,MT1X,,4501,,
2764,NR4A3,,8013,,
2765,GDPD2,,54857,,
2766,CD55,,1604,,
2767,PPP1R14A,,94274,,
2768,PAFAH2,,5051,,
2769,ENTPD3,,956,,
2770,NOC2L,,26155,,
2771,PLA2G4C,,8605,,
2772,ZNF273,,10793,,
2773,PRG3,,10394,,
2774,FZD4,,8322,,
2775,PRH1,,5554,,
2776,MC1R,,4157,,
2777,LSM5,,23658,,
2778,PTK2B,,2185,,
2779,KLF6,,1316,,
2780,IER5,,51278,,
2781,CPNE2,,221184,,
2782,SNN,,8303,,
2783,SEC13,,6396,,
2784,SP110,,3431,,
2785,PGM1,,5236,,
2786,SCUBE2,,57758,,
2787,XYLT1,,64131,,
2788,HSPB7,,27129,,
2789,DDX25,,29118,,
2790,SYMPK,,8189,,
2791,MAPK8IP3,,23162,,
2792,MTMR10,,54893,,
2793,ZNF79,,7633,,
2794,INPP5J,,27124,,
2795,CST4,,1472,,
2796,RALYL,,138046,,
2797,MT4,,84560,,
2798,GSTA3,,2940,,
2799,SPDEF,,25803,,
2800,PIN1,,5300,,
2801,CD82,,3732,,
2802,TMEM98,,26022,,
2803,DIDO1,,11083,,
2804,SLC47A1,,55244,,
2805,KIF21A,,55605,,
2806,GPR162,,27239,,
2807,UNC13A,,23025,,
2808,PDCD1LG2,,80380,,
2809,TFF2,,7032,,
2810,ITGA4,,3676,,
2811,C16orf80,,29105,,
2812,HMGN5,,79366,,
2813,H2AFY2,,55506,,
2814,KLHL12,,59349,,
2815,LHCGR,,3973,,
2816,FZD3,,7976,,
2817,SNRNP25,,79622,,
2818,B3GNT2,,10678,,
2819,SLC17A1,,6568,,
2820,ARHGDIB,,397,,
2821,COL19A1,,1310,,
2822,SULF2,,55959,,
2823,TDRD7,,23424,,
2824,ANKFY1,,51479,,
2825,GREM2,,64388,,
2826,SEMA5A,,9037,,
2827,PMP2,,5375,,
2828,AIM2,,9447,,
2829,FAM110B,,90362,,
2830,GTF2B,,2959,,
2831,CDK5R2,,8941,,
2832,FHL3,,2275,,
2833,WBSCR16,,81554,,
2834,GLTSCR1,,29998,,
2835,MBD5,,55777,,
2836,DICER1,,23405,,
2837,TMEM55A,,55529,,
2838,TP53INP1,,94241,,
2839,SLC5A2,,6524,,
2840,ANKRD57,,65124,,
2841,IL1A,,3552,,
2842,DCK,,1633,,
2843,DUSP3,,1845,,
2844,FGF2,,2247,,
2845,GOLGA8B,,440270,,
2846,NTM,,50863,,
2847,PVRL1,,5818,,
2848,KIF5A,,3798,,
2849,LMO3,,55885,,
2850,POSTN,,10631,,
2851,HPN,,3249,,
2852,FBXO40,,51725,,
2853,PLOD2,,5352,,
2854,TMEM189,,387521,,
2855,PPAPDC2,,403313,,
2856,ZC3H12A,,80149,,
2857,EZH2,,2146,,
2858,PLAC1,,10761,,
2859,CNGA2,,1260,,
2860,DCPS,,28960,,
2861,ATAD3A,,55210,,
2862,AURKA,,6790,,
2863,MTMR2,,8898,,
2864,CCNG2,,901,,
2865,ATP11A,,23250,,
2866,ZBTB12,,221527,,
2867,BEX4,,56271,,
2868,VAMP5,,10791,,
2869,WBSCR27,,155368,,
2870,TOP3B,,8940,,
2871,KLRG1,,10219,,
2872,ITGB4,,3691,,
2873,ADAMTS20,,80070,,
2874,ITGA9,,3680,,
2875,KRTAP4-7,,100132476,,
2876,GAD1,,2571,,
2877,PITX1,,5307,,
2878,RSPH1,,89765,,
2879,MAPRE2,,10982,,
2880,FER,,2241,,
2881,SLCO1B3,,28234,,
2882,CHST8,,64377,,
2883,TACR3,,6870,,
2884,GPR183,,1880,,
2885,ABCC2,,1244,,
2886,UCHL1,,7345,,
2887,EML6,,400954,,
2888,ERVMER34-1,,100288413,,
2889,MS4A4C,,64228,,
2890,PLEK,,5341,,
2891,SDAD1,,55153,,
2892,BMP7,,655,,
2893,BHMT2,,23743,,
2894,SDK2,,54549,,
2895,JUP,,3728,,
2896,YOD1,,55432,,
2897,HAUS5,,23354,,
2898,ARHGAP4,,393,,
2899,DIP2C,,22982,,
2900,ZNF319,,57567,,
2901,BBOX1,,8424,,
2902,WDR45,,11152,,
2903,EIF4EBP1,,1978,,
2904,RBM4,,5936,,
2905,CLPB,,81570,,
2906,ELAVL4,,1996,,
2907,TAX1BP3,,30851,,
2908,KRT8,,3856,,
2909,SCAP,,22937,,
2910,LOXL2,,4017,,
2911,TEX13A,,56157,,
2912,HLA-DMB,,3109,,
2913,CYP11A1,,1583,,
2914,TRIM2,,23321,,
2915,UGT2B17,,7367,,
2916,SLC30A10,,55532,,
2917,PSPN,,5623,,
2918,CNTD2,,79935,,
2919,COL4A3BP,,10087,,
2920,MGC50722,,399693,,
2921,NUPR1,,26471,,
2922,AP2B1,,163,,
2923,DYNLL1,,8655,,
2924,EXOSC2,,23404,,
2925,ABHD1,,84696,,
2926,CRYGS,,1427,,
2927,SIDT1,,54847,,
2928,CRISP2,,7180,,
2929,TGFBI,,7045,,
2930,GPR35,,2859,,
2931,TANC2,,26115,,
2932,PIM1,,5292,,
2933,DNAJB9,,4189,,
2934,MYLIP,,29116,,
2935,FAM167A,,83648,,
2936,NDUFS8,,4728,,
2937,STX11,,8676,,
2938,CTF1,,1489,,
2939,LRRC37A,,9884,,
2940,RNF39,,80352,,
2941,HIST1H1D,,3007,,
2942,C11orf57,,55216,,
2943,ATP6V1D,,51382,,
2944,COPB2,,9276,,
2945,FLNA,,2316,,
2946,ALDH8A1,,64577,,
2947,ANXA2P3,,305,,
2948,HAS2,,3037,,
2949,MSC,,9242,,
2950,ZNF536,,9745,,
2951,POLM,,27434,,
2952,FBXL15,,79176,,
2953,PDLIM4,,8572,,
2954,FEM1A,,55527,,
2955,SRSF4,,6429,,
2956,RND1,,27289,,
2957,ALDH4A1,,8659,,
2958,RC3H2,,54542,,
2959,AGER,,177,,
2960,METTL11A,,28989,,
2961,CBX4,,8535,,
2962,FPGS,,2356,,
2963,CFTR,,1080,,
2964,PFKL,,5211,,
2965,USP33,,23032,,
2966,PHLPP2,,23035,,
2967,MME,,4311,,
2968,PA2G4,,5036,,
2969,MAN2B2,,23324,,
2970,TSPAN4,,7106,,
2971,CPE,,1363,,
2972,FDPS,,2224,,
2973,GPR182,,11318,,
2974,RPGR,,6103,,
2975,BMPR1A,,657,,
2976,HCG26,,352961,,
2977,C20orf195,,79025,,
2978,UPP1,,7378,,
2979,ZNF358,,140467,,
2980,SEMA3A,,10371,,
2981,BEST1,,7439,,
2982,CNTF,,1270,,
2983,GALK1,,2584,,
2984,P2RY10,,27334,,
2985,RAMP1,,10267,,
2986,LOC643650,,643650,,
2987,MICAL1,,64780,,
2988,C10orf2,,56652,,
2989,MS4A4D,,83664,,
2990,PSMB8,,5696,,
2991,PAEP,,5047,,
2992,TSPAN3,,10099,,
2993,COTL1,,23406,,
2994,TMEM59L,,25789,,
2995,MCTP1,,79772,,
2996,TCAP,,8557,,
2997,SLC6A5,,9152,,
2998,DGCR9,,25787,,
2999,ETNK2,,55224,,
3000,NPHS2,,7827,,
3001,SLC14A1,,6563,,
3002,YPEL5,,51646,,
3003,PDXK,,8566,,
3004,PCSK1N,,27344,,
3005,GPATCH4,,54865,,
3006,ZNF423,,23090,,
3007,HKDC1,,80201,,
3008,AHNAK,,79026,,
3009,DLL3,,10683,,
3010,PIK3CG,,5294,,
3011,PCSK1,,5122,,
3012,PDCD4,,27250,,
3013,ITGB1BP3,,27231,,
3014,WBSCR23,,80112,,
3015,PTER,,9317,,
3016,C20orf30,,29058,,
3017,KCNE2,,9992,,
3018,MFNG,,4242,,
3019,RFX2,,5990,,
3020,DUSP14,,11072,,
3021,SLC2A8,,29988,,
3022,COG6,,57511,,
3023,RPL39L,,116832,,
3024,RASA1,,5921,,
3025,SGSM3,,27352,,
3026,RORB,,6096,,
3027,RHOD,,29984,,
3028,CELF4,,56853,,
3029,HIP1R,,9026,,
3030,APOBEC3A,,200315,,
3031,LIF,,3976,,
3032,THAP10,,56906,,
3033,CHFR,,55743,,
3034,SPG20,,23111,,
3035,ST6GAL1,,6480,,
3036,DEGS1,,8560,,
3037,ARID5B,,84159,,
3038,SMOX,,54498,,
3039,CCDC87,,55231,,
3040,ZNHIT6,,54680,,
3041,APITD1,,378708,,
3042,MEIS1,,4211,,
3043,ZEB1-AS1,,220930,,
3044,LY96,,23643,,
3045,HEY2,,23493,,
3046,NMUR1,,10316,,
3047,CDCA4,,55038,,
3048,GPR107,,57720,,
3049,ANKRD10,,55608,,
3050,EFCAB11,,90141,,
3051,FSCN1,,6624,,
3052,SOX14,,8403,,
3053,SOX11,,6664,,
3054,NOX5,,79400,,
3055,RPL13P5,,283345,,
3056,IFNA17,,3451,,
3057,SV2B,,9899,,
3058,CRYAB,,1410,,
3059,FNDC8,,54752,,
3060,RFPL3-AS1,,10737,,
3061,HBA2,,3040,,
3062,CYP3A7,,1551,,
3063,LMO7,,4008,,
3064,MYO5B,,4645,,
3065,ART5,,116969,,
3066,NUP210,,23225,,
3067,SLC25A11,,8402,,
3068,PTPN3,,5774,,
3069,PEX6,,5190,,
3070,EIF4A3,,9775,,
3071,KIT,,3815,,
3072,MT1G,,4495,,
3073,CDC42BPA,,8476,,
3074,NFXL1,,152518,,
3075,LGALS3,,3958,,
3076,UAP1,,6675,,
3077,ETFB,,2109,,
3078,CA2,,760,,
3079,SLC7A8,,23428,,
3080,FOXM1,,2305,,
3081,SULT1B1,,27284,,
3082,HSD3B7,,80270,,
3083,TEN1,,100134934,,
3084,DNAI1,,27019,,
3085,PTN,,5764,,
3086,CLDN15,,24146,,
3087,ANKRD28,,23243,,
3088,CASP4,,837,,
3089,GRID1,,2894,,
3090,OSBP2,,23762,,
3091,PLD6,,201164,,
3092,CCDC19,,25790,,
3093,ENO3,,2027,,
3094,FP588,,92973,,
3095,IFIT5,,24138,,
3096,TNFRSF21,,27242,,
3097,ALPP,,250,,
3098,LRP12,,29967,,
3099,SLC35D1,,23169,,
3100,DSCR4,,10281,,
3101,APBA1,,320,,
3102,ATP4A,,495,,
3103,TIMP4,,7079,,
3104,TSPAN7,,7102,,
3105,ETV3,,2117,,
3106,FRAT1,,10023,,
3107,TUBB2A,,7280,,
3108,MAGOHB,,55110,,
3109,SERPINB5,,5268,,
3110,PPP1R13B,,23368,,
3111,HCG9,,10255,,
3112,PHB,,5245,,
3113,BGN,,633,,
3114,AOAH,,313,,
3115,FRZB,,2487,,
3116,ADAM28,,10863,,
3117,BLVRB,,645,,
3118,MMP7,,4316,,
3119,COL14A1,,7373,,
3120,DNASE1L2,,1775,,
3121,HTR2C,,3358,,
3122,CRYGC,,1420,,
3123,NPEPPS,,9520,,
3124,FN3KRP,,79672,,
3125,PRPH2,,5961,,
3126,DFNA5,,1687,,
3127,DDIT4L,,115265,,
3128,ELOVL1,,64834,,
3129,PARP9,,83666,,
3130,C12orf10,,60314,,
3131,SYPL2,,284612,,
3132,P2RY1,,5028,,
3133,FIGN,,55137,,
3134,CRMP1,,1400,,
3135,LGALSL,,29094,,
3136,ZNF695,,57116,,
3137,C6orf103,,79747,,
3138,CNNM4,,26504,,
3139,ORC3,,23595,,
3140,PARK2,,5071,,
3141,YIPF5,,81555,,
3142,PDIK1L,,149420,,
3143,NRAS,,4893,,
3144,ATMIN,,23300,,
3145,NONO,,4841,,
3146,SSR3,,6747,,
3147,RRP15,,51018,,
3148,MIR22HG,,84981,,
3149,TMEM71,,137835,,
3150,PODNL1,,79883,,
3151,LPL,,4023,,
3152,PTPN14,,5784,,
3153,GALNT7,,51809,,
3154,ICT1,,3396,,
3155,MSRA,,4482,,
3156,CCL17,,6361,,
3157,LOC202181,,202181,,
3158,PAGE1,,8712,,
3159,LOC341651,,341651,,
3160,TAAR5,,9038,,
3161,APBB3,,10307,,
3162,PLP1,,5354,,
3163,B3GNTL1,,146712,,
3164,PIGR,,5284,,
3165,SELM,,140606,,
3166,C7orf50,,84310,,
3167,PDGFRA,,5156,,
3168,PPM1M,,132160,,
3169,HIST1H2BH,,8345,,
3170,CXCR4,,7852,,
3171,XIAP,,331,,
3172,ZZZ3,,26009,,
3173,TCEA2,,6919,,
3174,DNM1L,,10059,,
3175,MICU1,,10367,,
3176,SSH1,,54434,,
3177,KLF9,,687,,
3178,SNX17,,9784,,
3179,UMPS,,7372,,
3180,PPP5C,,5536,,
3181,FANCA,,2175,,
3182,ADHFE1,,137872,,
3183,KCNQ1,,3784,,
3184,OAS2,,4939,,
3185,PTPRH,,5794,,
3186,KIAA1462,,57608,,
3187,SLC35E3,,55508,,
3188,FAM3C,,10447,,
3189,CHRNA2,,1135,,
3190,ARHGEF5,,7984,,
3191,ANXA10,,11199,,
3192,DGKZ,,8525,,
3193,DNAJC4,,3338,,
3194,C8G,,733,,
3195,LOC126536,,126536,,
3196,MEGF6,,1953,,
3197,CHKA,,1119,,
3198,IRF9,,10379,,
3199,DRAM1,,55332,,
3200,ENAH,,55740,,
3201,CGA,,1081,,
3202,AP1G2,,8906,,
3203,AZI1,,22994,,
3204,OBSCN,,84033,,
3205,FLVCR2,,55640,,
3206,ATP4B,,496,,
3207,TRIM24,,8805,,
3208,AURKC,,6795,,
3209,ASMT,,438,,
3210,ADAM18,,8749,,
3211,C3orf62,,375341,,
3212,TSHB,,7252,,
3213,DNAL4,,10126,,
3214,RIOK2,,55781,,
3215,COL1A1,,1277,,
3216,PRKACB,,5567,,
3217,SLMO1,,10650,,
3218,KYNU,,8942,,
3219,C1orf54,,79630,,
3220,SLC29A1,,2030,,
3221,FST,,10468,,
3222,SCEL,,8796,,
3223,RASSF8,,11228,,
3224,KPNA4,,3840,,
3225,MON1A,,84315,,
3226,SERINC4,,619189,,
3227,ATOH7,,220202,,
3228,CPLX2,,10814,,
3229,WNT3,,7473,,
3230,C9orf169,,375791,,
3231,MFGE8,,4240,,
3232,DSTYK,,25778,,
3233,CMTM7,,112616,,
3234,SLC13A5,,284111,,
3235,KIAA1045,,23349,,
3236,ATP10B,,23120,,
3237,CLEC5A,,23601,,
3238,SNX19,,399979,,
3239,TIMP3,,7078,,
3240,KCNK12,,56660,,
3241,NCAPD2,,9918,,
3242,EIF2C2,,27161,,
3243,MILR1,,284021,,
3244,OR7E47P,,26628,,
3245,INPP4B,,8821,,
3246,RBM15B,,29890,,
3247,MBTD1,,54799,,
3248,IMPG2,,50939,,
3249,PYHIN1,,149628,,
3250,SLC3A1,,6519,,
3251,PRDM1,,639,,
3252,PRG2,,5553,,
3253,SDCCAG8,,10806,,
3254,IL19,,29949,,
3255,GSTCD,,79807,,
3256,GSPT2,,23708,,
3257,VIM,,7431,,
3258,ESYT1,,23344,,
3259,ZC3H18,,124245,,
3260,TGFB3,,7043,,
3261,SLC20A1,,6574,,
3262,ARMCX1,,51309,,
3263,IGF2BP2,,10644,,
3264,HOXB9,,3219,,
3265,ANXA7,,310,,
3266,COG5,,10466,,
3267,EML1,,2009,,
3268,IFITM1,,8519,,
3269,RNPS1,,10921,,
3270,MAMLD1,,10046,,
3271,PAICS,,10606,,
3272,CHST12,,55501,,
3273,HIST1H4H,,8365,,
3274,UBXN2A,,165324,,
3275,CSHL1,,1444,,
3276,SACS,,26278,,
3277,PHKA1,,5255,,
3278,PMFBP1,,83449,,
3279,ZNF749,,388567,,
3280,TBXA2R,,6915,,
3281,TRPC5,,7224,,
3282,NRXN3,,9369,,
3283,BARX2,,8538,,
3284,IFFO1,,25900,,
3285,SECISBP2,,79048,,
3286,RPL27A,,6157,,
3287,ARHGAP18,,93663,,
3288,CMPK2,,129607,,
3289,GAS2L2,,246176,,
3290,CD3EAP,,10849,,
3291,KCNQ1DN,,55539,,
3292,KIRREL,,55243,,
3293,AIF1,,199,,
3294,AKAP12,,9590,,
3295,WIPI1,,55062,,
3296,LHFP,,10186,,
3297,ANKRD2,,26287,,
3298,CLSPN,,63967,,
3299,PLK1,,5347,,
3300,MYBL2,,4605,,
3301,ALX4,,60529,,
3302,PNPLA3,,80339,,
3303,TULP1,,7287,,
3304,CLCN4,,1183,,
3305,SCARF1,,8578,,
3306,FAM46C,,54855,,
3307,PYCRL,,65263,,
3308,REG1A,,5967,,
3309,SPHAR,,10638,,
3310,BAHCC1,,57597,,
3311,PHLDB1,,23187,,
3312,BMP1,,649,,
3313,LGALS2,,3957,,
3314,IGF2,,3481,,
3315,ZNF771,,51333,,
3316,FGF8,,2253,,
3317,PYY,,5697,,
3318,DGKB,,1607,,
3319,PTPRZ1,,5803,,
3320,C9orf3,,84909,,
3321,ZNF323,,64288,,
3322,DIP2B,,57609,,
3323,NPM3,,10360,,
3324,RHPN1,,114822,,
3325,TLL1,,7092,,
3326,IL36RN,,26525,,
3327,DNAJC1,,64215,,
3328,AGT,,183,,
3329,SLC8A1,,6546,,
3330,MAP3K15,,389840,,
3331,DDN,,23109,,
3332,OR1F1,,4992,,
3333,KDM2A,,22992,,
3334,PPIC,,5480,,
3335,LTBP1,,4052,,
3336,NUP160,,23279,,
3337,SDPR,,8436,,
3338,LMCD1,,29995,,
3339,LONRF2,,164832,,
3340,SHISA4,,149345,,
3341,PBX3,,5090,,
3342,ASAH1,,427,,
3343,BEND5,,79656,,
3344,RHOB,,388,,
3345,KREMEN2,,79412,,
3346,EXOSC7,,23016,,
3347,MLEC,,9761,,
3348,GAS6,,2621,,
3349,TMEM212,,389177,,
3350,GPR52,,9293,,
3351,PPFIA3,,8541,,
3352,AMELY,,266,,
3353,KDM4D,,55693,,
3354,BMP6,,654,,
3355,CRTAM,,56253,,
3356,IFNA8,,3445,,
3357,ZNF529,,57711,,
3358,PRKCDBP,,112464,,
3359,BTBD16,,118663,,
3360,KRT72,,140807,,
3361,FAM208A,,23272,,
3362,ARHGAP8,,23779,,
3363,SLC11A1,,6556,,
3364,C11orf9,,745,,
3365,MYL5,,4636,,
3366,SYPL1,,6856,,
3367,BCL9,,607,,
3368,SLC25A46,,91137,,
3369,MKI67IP,,84365,,
3370,RARRES3,,5920,,
3371,FMO3,,2328,,
3372,DLG4,,1742,,
3373,ARMCX2,,9823,,
3374,SPTLC2,,9517,,
3375,HMG20B,,10362,,
3376,PHLDA2,,7262,,
3377,TBX3,,6926,,
3378,NIPAL3,,57185,,
3379,AK4P3,,645619,,
3380,SIPA1,,6494,,
3381,GUCY2C,,2984,,
3382,CYP17A1,,1586,,
3383,SRPX2,,27286,,
3384,WASL,,8976,,
3385,OCA2,,4948,,
3386,TCF3,,6929,,
3387,PC,,5091,,
3388,NBEAL1,,65065,,
3389,MTMR9LP,,339483,,
3390,LOC100129361,,100129361,,
3391,LRRFIP1,,9208,,
3392,CRABP1,,1381,,
3393,FERMT2,,10979,,
3394,FYN,,2534,,
3395,GABARAPL3,,23766,,
3396,PCDHGA3,,56112,,
3397,IL17RB,,55540,,
3398,SLC6A6,,6533,,
3399,MMP2,,4313,,
3400,KCNQ2,,3785,,
3401,CLDN14,,23562,,
3402,DGCR11,,25786,,
3403,COPZ2,,51226,,
3404,NOP58,,51602,,
3405,NUDT18,,79873,,
3406,SATB1,,6304,,
3407,SETD4,,54093,,
3408,ABP1,,26,,
3409,UGT2B10,,7365,,
3410,GYS1,,2997,,
3411,HIGD1C,,613227,,
3412,MOSPD1,,56180,,
3413,PSORS1C1,,170679,,
3414,PYCARD,,29108,,
3415,CAMTA1,,23261,,
3416,FCGRT,,2217,,
3417,FKBP9,,11328,,
3418,FXR1,,8087,,
3419,C16orf91,,283951,,
3420,GLYCAM1,,644076,,
3421,BUB1B,,701,,
3422,DPRX,,503834,,
3423,GADD45A,,1647,,
3424,TPRA1,,131601,,
3425,COL5A1,,1289,,
3426,COPB1,,1315,,
3427,KAZN,,23254,,
3428,COX10,,1352,,
3429,FMOD,,2331,,
3430,GALNTL4,,374378,,
3431,TSPO2,,222642,,
3432,TMEM35,,59353,,
3433,FLJ11827,,80163,,
3434,EHHADH,,1962,,
3435,PTPRN,,5798,,
3436,TPSD1,,23430,,
3437,LGR4,,55366,,
3438,PPP2R2B,,5521,,
3439,ADSL,,158,,
3440,ZIC1,,7545,,
3441,CAMK4,,814,,
3442,TYROBP,,7305,,
3443,SLC12A6,,9990,,
3444,SYP,,6855,,
3445,GALNT6,,11226,,
3446,BPHL,,670,,
3447,IMPACT,,55364,,
3448,GGH,,8836,,
3449,EEF1G,,1937,,
3450,RUNDC3B,,154661,,
3451,GRM8,,2918,,
3452,KLF1,,10661,,
3453,BANK1,,55024,,
3454,SPECC1,,92521,,
3455,SYNPO,,11346,,
3456,LMNB1,,4001,,
3457,HIST1H2BE,,8344,,
3458,PTPRE,,5791,,
3459,ADAM9,,8754,,
3460,SERHL,,94009,,
3461,PEX7,,5191,,
3462,SDC2,,6383,,
3463,CAV3,,859,,
3464,FLJ39739,,388685,,
3465,POLD1,,5424,,
3466,FDXR,,2232,,
3467,ELL,,8178,,
3468,RCAN2,,10231,,
3469,TIMP1,,7076,,
3470,BCS1L,,617,,
3471,C1R,,715,,
3472,METRNL,,284207,,
3473,KCNH3,,23416,,
3474,SIGLEC1,,6614,,
3475,SLC14A2,,8170,,
3476,RUNX1T1,,862,,
3477,FAH,,2184,,
3478,TLN2,,83660,,
3479,ENDOG,,2021,,
3480,RARRES1,,5918,,
3481,GGNBP1,,449520,,
3482,CCL11,,6356,,
3483,SLC22A6,,9356,,
3484,PPYR1,,5540,,
3485,INSL4,,3641,,
3486,HOXD3,,3232,,
3487,NCALD,,83988,,
3488,SMURF2,,64750,,
3489,FHDC1,,85462,,
3490,KRT80,,144501,,
3491,FAM150B,,285016,,
3492,SMYD5,,10322,,
3493,GTF2H2,,2966,,
3494,LSM2,,57819,,
3495,LTA,,4049,,
3496,NDUFS2,,4720,,
3497,RPRD1A,,55197,,
3498,AGAP2,,116986,,
3499,OPCML,,4978,,
3500,HS6ST1,,9394,,
3501,GPR56,,9289,,
3502,TRPM4,,54795,,
3503,LIME1,,54923,,
3504,ATG2A,,23130,,
3505,TTTY1,,50858,,
3506,HOXA4,,3201,,
3507,OLFML2A,,169611,,
3508,ORM1,,5004,,
3509,PCDHB15,,56121,,
3510,LTB,,4050,,
3511,GPR65,,8477,,
3512,NVL,,4931,,
3513,ATP2B2,,491,,
3514,JOSD1,,9929,,
3515,B4GALNT2,,124872,,
3516,CYP27A1,,1593,,
3517,GATA6,,2627,,
3518,OR1D2,,4991,,
3519,EREG,,2069,,
3520,CD97,,976,,
3521,TMEM92,,162461,,
3522,CCNA1,,8900,,
3523,SCAMP1,,9522,,
3524,MRPL17,,63875,,
3525,PLEC,,5339,,
3526,DOHH,,83475,,
3527,MTNR1A,,4543,,
3528,FAM134C,,162427,,
3529,DNMT1,,1786,,
3530,TPRG1L,,127262,,
3531,CENPH,,64946,,
3532,CDC7,,8317,,
3533,C11orf88,,399949,,
3534,PGM2L1,,283209,,
3535,ZNF276,,92822,,
3536,EYA3,,2140,,
3537,CROT,,54677,,
3538,ADAMTS2,,9509,,
3539,E2F6,,1876,,
3540,SNRNP40,,9410,,
3541,FCGR2A,,2212,,
3542,FZR1,,51343,,
