id,hugo,info,entrez,created_at,updated_at
231,CHAT,,1103,,
232,RNF19A,,25897,,
233,C16orf70,,80262,,
234,FABP6,,2172,,
235,RDH16,,8608,,
236,TXNIP,,10628,,
237,ASNS,,440,,
238,SEPP1,,6414,,
239,EHF,,26298,,
240,PKD1P1,,339044,,
241,IRGC,,56269,,
242,TAGLN,,6876,,
243,TRH,,7200,,
244,AFP,,174,,
245,ACTA1,,58,,
246,RASAL2,,9462,,
247,CA14,,23632,,
248,RHO,,6010,,
249,SLC7A11,,23657,,
250,CPA4,,51200,,
251,TMEM176B,,28959,,
252,EDN1,,1906,,
253,PTEN,,5728,,
254,ID1,,3397,,
255,FARP2,,9855,,
256,SVIL,,6840,,
257,PPCS,,79717,,
258,TECTA,,7007,,
259,AQP1,,358,,
260,TMEM87A,,25963,,
261,CLCA3P,,9629,,
262,DCXR,,51181,,
263,MBNL3,,55796,,
264,PAQR4,,124222,,
265,C2orf18,,54978,,
266,ANAPC5,,51433,,
267,EGFL6,,25975,,
268,LCN2,,3934,,
269,CALB1,,793,,
270,PRKCQ,,5588,,
271,ART4,,420,,
272,ADAMDEC1,,27299,,
273,MOSC1,,64757,,
274,HTR2B,,3357,,
275,A4GNT,,51146,,
276,LYL1,,4066,,
277,DUSP6,,1848,,
278,DSCR6,,53820,,
279,SMR3A,,26952,,
280,ARC,,23237,,
281,SERTAD2,,9792,,
282,HCAR3,,8843,,
283,ITGA2,,3673,,
284,CNP,,1267,,
285,PPME1,,51400,,
286,XPC,,7508,,
287,NUTF2,,10204,,
288,TWF1,,5756,,
289,TMEM45B,,120224,,
290,CYP4F3,,4051,,
291,GJB2,,2706,,
292,GJA1,,2697,,
293,SHISA2,,387914,,
294,CBL,,867,,
295,SPINK1,,6690,,
296,LCP1,,3936,,
297,BLMH,,642,,
298,TMED5,,50999,,
299,PDHX,,8050,,
300,ECD,,11319,,
301,CCDC138,,165055,,
302,ANKRD1,,27063,,
303,ANP32A-IT1,,80035,,
304,LOC100288903,,100288903,,
305,S100A7,,6278,,
306,A2M,,2,,
307,ABCB1,,5243,,
308,IGFBP3,,3486,,
309,NPPB,,4879,,
310,CDR1,,1038,,
311,SPRR1A,,6698,,
312,NES,,10763,,
313,ID3,,3399,,
314,NELL2,,4753,,
315,C20orf118,,140711,,
316,CCND2,,894,,
317,POU5F1,,5460,,
318,ADCY6,,112,,
319,GFRA1,,2674,,
320,ANXA3,,306,,
321,FAM129A,,116496,,
322,DEFA1,,1667,,
323,STX2,,2054,,
324,DDX39A,,10212,,
325,PSMA7,,5688,,
326,C1orf95,,375057,,
327,TESK1,,7016,,
328,DMWD,,1762,,
329,EIF4G1,,1981,,
330,PKD1,,5310,,
331,ALDH1L2,,160428,,
332,FOXD1,,2297,,
333,DENND2A,,27147,,
334,FEN1,,2237,,
335,ASS1,,445,,
336,ARG1,,383,,
337,IBSP,,3381,,
338,NCAM1,,4684,,
339,CYP51A1,,1595,,
340,MMP10,,4319,,
341,AMPH,,273,,
342,PBLD,,64081,,
343,GCNT1,,2650,,
344,CCDC53,,51019,,
345,LY6G6D,,58530,,
346,DES,,1674,,
347,ARSJ,,79642,,
348,SDC3,,9672,,
349,KISS1,,3814,,
350,EIF2AK2,,5610,,
351,POLD2,,5425,,
352,TSPAN32,,10077,,
353,PIDD,,55367,,
354,PLEK2,,26499,,
355,MPZ,,4359,,
356,MYOM1,,8736,,
357,GJB1,,2705,,
358,SPP1,,6696,,
359,CLK1,,1195,,
360,EEF2,,1938,,
361,CCNE2,,9134,,
362,RRP9,,9136,,
363,UHRF1,,29128,,
364,TONSL,,4796,,
365,SMARCB1,,6598,,
366,SOSTDC1,,25928,,
367,RNF41,,10193,,
368,GALNT12,,79695,,
369,AKR1B10,,57016,,
370,VGLL1,,51442,,
371,MTMR8,,55613,,
372,RDH5,,5959,,
373,DCP2,,167227,,
374,CCDC68,,80323,,
375,NGF,,4803,,
376,GGT5,,2687,,
377,CIB1,,10519,,
378,FLRT1,,23769,,
379,GSDMD,,79792,,
380,PHOX2B,,8929,,
381,OXNAD1,,92106,,
382,NCR1,,9437,,
383,MGAT4C,,25834,,
384,SLC2A2,,6514,,
385,RAG2,,5897,,
386,CTSG,,1511,,
387,BMP4,,652,,
388,TXLNA,,200081,,
389,IFIT2,,3433,,
390,NDRG1,,10397,,
391,ACTN3,,89,,
392,S100G,,795,,
393,KRT19,,3880,,
394,GATAD2B,,57459,,
395,ZFP57,,346171,,
396,FOXA2,,3170,,
