ENTREZID	SYMBOL
11213	IRAK3
351	APP
7323	UBE2D3
3146	HMGB1
5518	PPP2R1A
6500	SKP1
7322	UBE2D2
5516	PPP2CB
3725	JUN
4792	NFKBIA
1845	DUSP3
929	CD14
5970	RELA
329	BIRC2
1660	DHX9
5528	PPP2R5D
8772	FADD
3661	IRF3
5604	MAP2K1
5519	PPP2R1B
5601	MAPK9
6416	MAP2K4
6195	RPS6KA1
2002	ELK1
6197	RPS6KA3
1846	DUSP4
1385	CREB1
9641	IKBKE
5602	MAPK10
7097	TLR2
1326	MAP3K8
695	BTK
6283	S100A12
7098	TLR3
948	CD36
23643	LY96
5598	MAPK7
10333	TLR6
4791	NFKB2
8454	CUL1
10010	TANK
4208	MEF2C
7187	TRAF3
4205	MEF2A
3665	IRF7
5515	PPP2CA
1848	DUSP6
4615	MYD88
2353	FOS
4790	NFKB1
3551	IKBKB
23291	FBXW11
1147	CHUK
8737	RIPK1
5609	MAP2K7
8651	SOCS1
177	AGER
7096	TLR1
5599	MAPK8
330	BIRC3
7321	UBE2D1
5595	MAPK3
148022	TICAM1
23098	SARM1
1849	DUSP7
4793	NFKBIB
4214	MAP3K1
51295	ECSIT
28511	NKIRAS2
57162	PELI1
79155	TNIP2
29110	TBK1
59307	SIGIRR
57161	PELI2
51135	IRAK4
28512	NKIRAS1
11035	RIPK3
246330	PELI3
578	BAK1
637	BID
117145	THEM4
57761	TRIB3
208	AKT2
5170	PDPK1
2893	GRIA4
2892	GRIA3
2891	GRIA2
2890	GRIA1
3233	HOXD4
9125	CNOT9
84962	AJUBA
9063	PIAS2
58508	KMT2C
4211	MEIS1
8202	NCOA3
5914	RARA
23512	SUZ12
23054	NCOA6
7528	YY1
9611	NCOR1
5931	RBBP7
1387	CREBBP
2033	EP300
6256	RXRA
10664	CTCF
2146	EZH2
7703	PCGF2
7403	KDM6A
5916	RARG
5316	PKNOX1
5915	RARB
5929	RBBP5
1959	EGR2
5087	PBX1
3212	HOXB2
5080	PAX6
3231	HOXD1
3221	HOXC4
3201	HOXA4
3211	HOXB1
3213	HOXB3
3200	HOXA3
9070	ASH2L
8726	EED
5928	RBBP4
8085	KMT2D
22976	PAXIP1
3199	HOXA2
3198	HOXA1
8841	HDAC3
57472	CNOT6
79447	PAGR1
9935	MAFB
63925	ZNF335
11091	WDR5
3214	HOXB4
4085	MAD2L1
51433	ANAPC5
9184	BUB3
5347	PLK1
8881	CDC16
991	CDC20
8697	CDC23
11065	UBE2C
983	CDK1
890	CCNA2
701	BUB1B
25906	ANAPC15
4751	NEK2
8900	CCNA1
10393	ANAPC10
7324	UBE2E1
891	CCNB1
996	CDC27
29882	ANAPC2
51529	ANAPC11
119504	ANAPC16
246184	CDC26
51434	ANAPC7
29945	ANAPC4
5982	RFC2
63967	CLSPN
144715	RAD9B
993	CDC25A
6117	RPA1
4172	MCM3
4174	MCM5
6118	RPA2
4175	MCM6
4171	MCM2
5985	RFC5
5000	ORC4
990	CDC6
5984	RFC4
8318	CDC45
5983	RFC3
10926	DBF4
1017	CDK2
5810	RAD1
8317	CDC7
5883	RAD9A
4999	ORC2
3364	HUS1
5001	ORC5
4998	ORC1
995	CDC25C
1111	CHEK1
5884	RAD17
4176	MCM7
6119	RPA3
545	ATR
23595	ORC3
4173	MCM4
23594	ORC6
55388	MCM10
84515	MCM8
572	BAD
7534	YWHAZ
10971	YWHAQ
7533	YWHAH
596	BCL2
5534	PPP3R1
5533	PPP3CC
207	AKT1
7529	YWHAB
